Date,Communication Services,Consumer Discretionary,Consumer Staples,Energy ,Financials,Health Care,Information Technology,Materials,Real Estate,Utilities,Industrials
2017-10-06,240.0019684,1796.528135,2006.502632,1347.677579,1344.249654,1346.991994,1346.306409,1623.919476,1544.596554,1425.623611,1871.18573
2017-10-09,236.9082031,1796.169754,2021.655804,1351.57792,1338.779644,1349.018265,1346.45861,1612.690427,1545.192918,1423.952964,1862.63522
2017-10-10,234.8315125,1814.233563,2039.149977,1362.738351,1337.601533,1357.710987,1352.683624,1609.816174,1553.419173,1428.994973,1851.94613
2017-10-11,233.9839325,1827.241161,2041.349192,1367.524762,1344.321888,1362.884187,1358.243612,1612.244058,1559.115551,1434.055676,1834.04304
2017-10-12,236.4843903,1841.838316,2072.468653,1383.59712,1358.700595,1378.617815,1373.63851,1623.168521,1576.004218,1448.954463,1842.94933
2017-10-13,232.9667969,1824.127048,2074.967566,1377.353804,1355.866206,1373.056284,1368.758765,1639.803201,1573.418982,1448.042874,1833.09928
2017-10-16,231.7801514,1817.065034,2055.385555,1368.076914,1354.879252,1365.437381,1362.797849,1634.419243,1565.437318,1441.841326,1809.73179
2017-10-17,228.8558655,1811.341023,2054.859099,1365.018662,1346.657281,1361.346386,1357.67411,1621.297277,1559.741977,1435.289282,1802.69535
2017-10-18,230.0001526,1830.262561,2044.725248,1368.329321,1356.589237,1365.981304,1363.633287,1613.163722,1563.240669,1438.48959,1820.13395
2017-10-19,231.1444092,1817.346266,2009.745315,1352.74533,1354.206831,1353.03763,1353.329931,1617.483204,1551.127787,1430.321786,1818.00159
2017-10-20,229.5763245,1813.990971,1970.336042,1337.967779,1356.038346,1341.581893,1345.196006,1620.503536,1540.802082,1423.681607,1818.81709
2017-10-23,232.0344086,1817.349268,1969.108829,1339.497502,1354.889493,1342.5759,1345.654298,1628.756943,1542.547462,1425.6536,1824.97135
2017-10-24,231.0172729,1799.964091,1964.935267,1331.97221,1347.592315,1335.096231,1338.220252,1625.807686,1534.798293,1418.914498,1818.49396
2017-10-25,224.6601563,1799.392284,1953.556824,1325.869755,1343.338286,1329.363461,1332.857167,1606.200181,1527.225423,1410.809046,1806.37593
2017-10-26,224.5754242,1814.971842,1983.445517,1340.997594,1355.311032,1343.860282,1346.722969,1619.90446,1543.601956,1425.066382,1825.2828
2017-10-27,222.9225616,1822.223554,2006.934124,1350.693413,1352.609825,1351.076696,1351.459978,1616.993446,1550.284434,1428.852965,1828.79767
2017-10-30,222.1596985,1816.954926,1996.343803,1345.152809,1354.405895,1347.003427,1348.854044,1615.126761,1546.263095,1426.134339,1829.02751
2017-10-31,220.6340027,1810.401646,1995.002073,1342.012574,1364.220866,1346.454233,1350.895891,1629.25539,1548.320382,1430.193223,1821.98542
2017-11-01,220.8035126,1794.319871,1955.749291,1323.624225,1369.461559,1332.791692,1341.959159,1637.573565,1536.497052,1423.651209,1826.34372
2017-11-02,214.9550018,1802.883949,1965.379316,1327.739422,1376.382587,1337.468055,1347.196688,1660.487938,1545.362565,1432.439543,1840.51291
2017-11-03,211.7340698,1825.339864,1973.260509,1336.778148,1383.09004,1346.040526,1355.302905,1666.417802,1555.175685,1440.467518,1854.75826
2017-11-06,213.8531036,1822.365843,1966.391491,1334.203479,1384.018685,1344.16652,1354.129561,1671.530505,1553.829441,1440.313032,1857.20687
2017-11-07,210.6321564,1803.401819,1941.043627,1318.359201,1382.306345,1331.14863,1343.938059,1655.73413,1539.41883,1428.484199,1853.67982
2017-11-08,212.8783264,1812.202637,1934.680218,1319.920394,1386.39371,1333.215057,1346.50972,1672.902643,1543.689197,1433.771787,1861.72101
2017-11-09,211.0559845,1786.568945,1934.548429,1310.724453,1384.245202,1325.428603,1340.132753,1651.564936,1533.316189,1424.235356,1848.62537
2017-11-10,209.9964752,1780.410157,1925.665573,1305.357402,1385.440102,1321.373942,1337.390482,1637.887258,1527.646417,1419.1826,1818.86526
2017-11-13,207.1993103,1767.019316,1916.359089,1296.859238,1377.076127,1312.902616,1328.945994,1634.382142,1519.077789,1411.540651,1801.08194
2017-11-14,206.6059875,1765.398237,1912.995577,1294.999934,1382.827367,1312.56542,1330.130907,1624.207404,1517.589264,1410.386716,1796.50384
2017-11-15,209.4878693,1755.348482,1899.507856,1288.114736,1374.596216,1305.411032,1322.707328,1612.65735,1508.334714,1401.970229,1772.76348
2017-11-16,207.5383606,1772.322108,1910.907868,1296.922779,1400.022078,1317.542639,1338.162498,1612.138192,1521.145452,1414.322273,1790.40413
2017-11-17,208.0045319,1777.056791,1903.870607,1296.310643,1399.529494,1316.954414,1337.598184,1614.274273,1520.799201,1414.244368,1792.86764
2017-11-20,208.3435822,1784.756186,1909.395912,1300.831893,1399.692764,1320.604068,1340.376242,1622.020461,1525.382504,1418.151322,1806.08522
